geoid,geoid20,year,denom_total_pop,all_crime_count,all_crime_rate,parti_violent_rate,parti_violent_count,parti_property_rate,parti_property_count,partii_rate,partii_count,_merge
1400000US06037121102,6037121102,2022,2271,403,1774.5487,123.2937,28,924.70276,210,717.74548,163,Master only (1)
1400000US06037121210,6037121210,2022,2922,228,780.28748,68.446266,20,321.69748,94,390.14374,114,Master only (1)
1400000US06037121221,6037121221,2022,2237,63,281.62717,0,0,134.10818,30,147.519,33,Master only (1)
1400000US06037121222,6037121222,2022,4872,207,424.87686,69.786537,34,164.20361,80,190.8867,93,Master only (1)
1400000US06037121600,6037121600,2022,2635,126,478.17838,26.565464,7,208.72865,55,242.88425,64,Master only (1)
1400000US06037121801,6037121801,2022,3916,178,454.54544,45.965271,18,211.95097,83,196.62921,77,Master only (1)
1400000US06037121802,6037121802,2022,3026,355,1173.1659,138.79709,42,436.21942,132,591.53998,179,Master only (1)
1400000US06037121900,6037121900,2022,3314,142,428.48523,24.140013,8,223.2951,74,178.03259,59,Master only (1)
1400000US06037122000,6037122000,2022,5034,361,717.12354,67.540726,34,299.96027,151,345.6496,174,Master only (1)
1400000US06037122120,6037122120,2022,4692,122,260.01706,4.2625747,2,85.251495,40,170.50299,80,Master only (1)
1400000US06037122121,6037122121,2022,2853,94,329.47775,24.535576,7,115.66772,33,189.27444,54,Master only (1)
1400000US06037122122,6037122122,2022,2507,210,837.65454,103.70961,26,382.9278,96,351.01715,88,Master only (1)
1400000US06037122200,6037122200,2022,3884,183,471.16376,46.343975,18,182.80124,71,242.01854,94,Master only (1)
1400000US06037122410,6037122410,2022,3949,237,600.15192,65.839455,26,210.17979,83,324.13269,128,Master only (1)
1400000US06037122420,6037122420,2022,5113,186,363.77859,33.248581,17,174.0661,89,156.46391,80,Master only (1)
1400000US06037123010,6037123010,2022,3948,177,448.32828,43.059776,17,187.43668,74,217.83182,86,Master only (1)
1400000US06037123020,6037123020,2022,2634,86,326.49963,30.372057,8,121.48823,32,174.63933,46,Master only (1)
1400000US06037123103,6037123103,2022,3917,248,633.13763,84.248146,33,262.95633,103,283.38013,111,Master only (1)
1400000US06037123104,6037123104,2022,4393,125,284.54358,27.316185,12,113.81744,50,141.13362,62,Master only (1)
1400000US06037123203,6037123203,2022,2982,270,905.43262,100.60362,30,305.16431,91,496.31119,148,Master only (1)
1400000US06037123204,6037123204,2022,3399,106,311.85641,41.188583,14,141.218,48,129.44984,44,Master only (1)
1400000US06037123205,6037123205,2022,2959,97,327.81345,27.036161,8,152.0784,45,148.69888,44,Master only (1)
1400000US06037123206,6037123206,2022,2371,108,455.504,37.958668,9,244.62253,58,172.92282,41,Master only (1)
1400000US06037123301,6037123301,2022,4068,204,501.47491,63.913471,26,223.69714,91,213.8643,87,Master only (1)
1400000US06037123303,6037123303,2022,3029,131,432.48596,66.028389,20,178.27666,54,188.18092,57,Master only (1)
1400000US06037123304,6037123304,2022,4499,208,462.32495,46.67704,21,215.60347,97,200.04445,90,Master only (1)
1400000US06037123410,6037123410,2022,3503,123,351.12759,59.948616,21,74.222092,26,214.1022,75,Master only (1)
1400000US06037123420,6037123420,2022,4401,186,422.63123,56.805271,25,174.96024,77,190.86571,84,Master only (1)
1400000US06037123510,6037123510,2022,4911,160,325.79922,30.543678,15,169.00835,83,126.2472,62,Master only (1)
1400000US06037123520,6037123520,2022,2619,158,603.28369,80.183273,21,202.36731,53,316.91486,83,Master only (1)
1400000US06037123601,6037123601,2022,5145,222,431.48688,34.985424,18,209.91254,108,186.58893,96,Master only (1)
1400000US06037123602,6037123602,2022,3190,62,194.35736,15.673982,5,115.98746,37,62.695927,20,Master only (1)
1400000US06037123700,6037123700,2022,4214,165,391.55197,11.865211,5,194.58946,82,185.09729,78,Master only (1)
1400000US06037123800,6037123800,2022,5696,260,456.46066,29.845505,17,233.49719,133,193.11798,110,Master only (1)
1400000US06037123901,6037123901,2022,3986,330,827.89764,115.40392,46,401.40491,160,308.58002,123,Master only (1)
1400000US06037123902,6037123902,2022,2668,113,423.53824,41.229385,11,232.3838,62,149.92503,40,Master only (1)
1400000US06037124000,6037124000,2022,4432,127,286.55234,2.2563176,1,187.27437,83,94.765343,42,Master only (1)
1400000US06037124102,6037124102,2022,3650,244,668.49316,63.013699,23,287.67123,105,309.58905,113,Master only (1)
1400000US06037124103,6037124103,2022,1811,140,773.05359,60.739922,11,270.56876,49,441.7449,80,Master only (1)
1400000US06037124104,6037124104,2022,2764,98,354.55862,18.089725,5,133.86397,37,202.60492,56,Master only (1)
1400000US06037124105,6037124105,2022,2250,81,360,48.888889,11,168.88889,38,142.22223,32,Master only (1)
1400000US06037124201,6037124201,2022,3837,158,411.78003,20.849623,8,195.46521,75,195.46521,75,Master only (1)
1400000US06037124203,6037124203,2022,2003,184,918.62207,94.857712,19,274.5881,55,549.17621,110,Master only (1)
1400000US06037124204,6037124204,2022,2302,205,890.52997,56.472633,13,421.37271,97,412.68463,95,Master only (1)
1400000US06037124300,6037124300,2022,2964,200,674.76385,43.85965,13,310.39136,92,320.51282,95,Master only (1)
1400000US06037124400,6037124400,2022,4582,175,381.92929,21.824532,10,183.32607,84,174.59625,80,Master only (1)
1400000US06037124500,6037124500,2022,2695,123,456.40076,51.948051,14,244.89796,66,159.55473,43,Master only (1)
1400000US06037124600,6037124600,2022,2608,124,475.46011,30.674847,8,279.90799,73,164.8773,43,Master only (1)
1400000US06037124700,6037124700,2022,5409,257,475.13403,16.638935,9,305.04715,165,153.44795,83,Master only (1)
